data;																					
# Solomon C-201																					
param n := 	18	;																			
																					
param m := 	4	;																			
																					
param M := 	7442	;																			
																					
param Q :=																					
1	150																				
2	250																				
3	300																				
4	400																				
;   																					
																					
param c :	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	:=
0	0	18	20	17	20	38	31	39	36	40	33	35	39	10	10	12	13	15	15	0	
1	18	0	2	4	3	21	17	23	22	25	21	24	26	20	18	19	16	22	21	18	
2	20	2	0	5	3	20	17	22	21	23	21	24	25	22	20	21	18	24	22	20	
3	17	4	5	0	3	21	16	23	21	24	19	22	24	17	15	16	13	19	17	17	
4	20	3	3	3	0	19	14	21	19	22	18	21	23	20	18	18	16	21	20	20	
5	38	21	20	21	19	0	10	3	7	5	12	14	11	35	33	33	30	35	33	38	
6	31	17	17	16	14	10	0	10	5	10	4	7	9	26	24	24	21	25	23	31	
7	39	23	22	23	21	3	10	0	5	2	11	12	9	36	34	34	31	35	33	39	
8	36	22	21	21	19	7	5	5	0	5	5	7	5	32	30	29	26	30	28	36	
9	40	25	23	24	22	5	10	2	5	0	10	11	7	36	34	34	31	35	33	40	
10	33	21	21	19	18	12	4	11	5	10	0	3	6	28	26	25	22	26	24	33	
11	35	24	24	22	21	14	7	12	7	11	3	0	5	29	27	26	24	27	25	35	
12	39	26	25	24	23	11	9	9	5	7	6	5	0	34	32	31	28	32	30	39	
13	10	20	22	17	20	35	26	36	32	36	28	29	34	0	2	3	5	5	5	10	
14	10	18	20	15	18	33	24	34	30	34	26	27	32	2	0	2	4	5	5	10	
15	12	19	21	16	18	33	24	34	29	34	25	26	31	3	2	0	3	4	3	12	
16	13	16	18	13	16	30	21	31	26	31	22	24	28	5	4	3	0	6	4	13	
17	15	22	24	19	21	35	25	35	30	35	26	27	32	5	5	4	6	0	2	15	
18	15	21	22	17	20	33	23	33	28	33	24	25	30	5	5	3	4	2	0	15	
19	0	18	20	17	20	38	31	39	36	40	33	35	39	10	10	12	13	15	15	0	;
																					
param t :	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	:=
0	0	18	20	17	20	38	31	39	36	40	33	35	39	10	10	12	13	15	15	0	
1	18	0	2	4	3	21	17	23	22	25	21	24	26	20	18	19	16	22	21	0	
2	20	2	0	5	3	20	17	22	21	23	21	24	25	22	20	21	18	24	22	0	
3	17	4	5	0	3	21	16	23	21	24	19	22	24	17	15	16	13	19	17	0	
4	20	3	3	3	0	19	14	21	19	22	18	21	23	20	18	18	16	21	20	0	
5	38	21	20	21	19	0	10	3	7	5	12	14	11	35	33	33	30	35	33	0	
6	31	17	17	16	14	10	0	10	5	10	4	7	9	26	24	24	21	25	23	0	
7	39	23	22	23	21	3	10	0	5	2	11	12	9	36	34	34	31	35	33	0	
8	36	22	21	21	19	7	5	5	0	5	5	7	5	32	30	29	26	30	28	0	
9	40	25	23	24	22	5	10	2	5	0	10	11	7	36	34	34	31	35	33	0	
10	33	21	21	19	18	12	4	11	5	10	0	3	6	28	26	25	22	26	24	0	
11	35	24	24	22	21	14	7	12	7	11	3	0	5	29	27	26	24	27	25	0	
12	39	26	25	24	23	11	9	9	5	7	6	5	0	34	32	31	28	32	30	0	
13	10	20	22	17	20	35	26	36	32	36	28	29	34	0	2	3	5	5	5	0	
14	10	18	20	15	18	33	24	34	30	34	26	27	32	2	0	2	4	5	5	0	
15	12	19	21	16	18	33	24	34	29	34	25	26	31	3	2	0	3	4	3	0	
16	13	16	18	13	16	30	21	31	26	31	22	24	28	5	4	3	0	6	4	0	
17	15	22	24	19	21	35	25	35	30	35	26	27	32	5	5	4	6	0	2	0	
18	15	21	22	17	20	33	23	33	28	33	24	25	30	5	5	3	4	2	0	0	
19	0	18	20	17	20	38	31	39	36	40	33	35	39	10	10	12	13	15	15	0	;
																					
param d :=																					
1	20																				
2	10																				
3	10																				
4	10																				
5	20																				
6	30																				
7	10																				
8	40																				
9	40																				
10	20																				
11	20																				
12	10																				
13	10																				
14	20																				
15	20																				
16	10																				
17	10																				
18	40																				
;																					
																					
param p :=																					
1	20																				
2	20																				
3	10																				
4	30																				
5	40																				
6	0																				
7	40																				
8	30																				
9	10																				
10	20																				
11	30																				
12	20																				
13	30																				
14	40																				
15	10																				
16	40																				
17	0																				
18	0																				
;																					
																					
param ts :=																					
0	0																				
1	90																				
2	90																				
3	90																				
4	90																				
5	90																				
6	90																				
7	90																				
8	90																				
9	90																				
10	90																				
11	90																				
12	90																				
13	90																				
14	90																				
15	90																				
16	90																				
17	90																				
18	90																				
19	0																				
;																					
																					
																					
param a :=																					
0	0																				
1	2887																				
2	2601																				
3	2791																				
4	2698																				
5	2119																				
6	2405																				
7	2026																				
8	2216																				
9	1934																				
10	2311																				
11	1742																				
12	1837																				
13	10																				
14	2983																				
15	22																				
16	1643																				
17	116																				
18	2504																				
19	0																				
;																					
																					
																					
param b:=																					
0	3390																				
1	3047																				
2	2761																				
3	2951																				
4	2858																				
5	2279																				
6	2565																				
7	2186																				
8	2376																				
9	2094																				
10	2471																				
11	1902																				
12	1997																				
13	170																				
14	3143																				
15	182																				
16	1803																				
17	276																				
18	2664																				
19	3390																				
;																					
