data;																		
# Solomon RC-105																		
param n := 	15	;																
																		
param m := 	3	;																
																		
param M := 	9232	;																
																		
param Q :=																		
1	250																	
2	200																	
3	220																	
;   																		
																		
param c :	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	:=
0	0	50	51	51	47	44	43	41	37	36	40	31	34	38	35	38	0	
1	50	0	5	10	3	54	55	52	52	53	57	50	56	60	57	83	50	
2	51	5	0	5	5	59	59	56	56	57	61	54	59	64	61	85	51	
3	51	10	5	0	10	63	63	60	60	60	65	57	63	67	64	86	51	
4	47	3	5	10	0	53	54	51	51	51	56	48	54	58	56	80	47	
5	44	54	59	63	53	0	2	4	7	9	7	13	13	12	12	47	44	
6	43	55	59	63	54	2	0	3	6	7	5	12	11	10	10	45	43	
7	41	52	56	60	51	4	3	0	4	5	6	10	10	10	10	45	41	
8	37	52	56	60	51	7	6	4	0	2	5	6	7	9	7	42	37	
9	36	53	57	60	51	9	7	5	2	0	5	5	5	7	5	40	36	
10	40	57	61	65	56	7	5	6	5	5	0	10	7	5	6	40	40	
11	31	50	54	57	48	13	12	10	6	5	10	0	6	10	8	39	31	
12	34	56	59	63	54	13	11	10	7	5	7	6	0	5	2	35	34	
13	38	60	64	67	58	12	10	10	9	7	5	10	5	0	3	35	38	
14	35	57	61	64	56	12	10	10	7	5	6	8	2	3	0	35	35	
15	38	83	85	86	80	47	45	45	42	40	40	39	35	35	35	0	38	
16	0	50	51	51	47	44	43	41	37	36	40	31	34	38	35	38	0	;
																		
param t :	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	:=
0	0	50	51	51	47	44	43	41	37	36	40	31	34	38	35	38	0	
1	50	0	5	10	3	54	55	52	52	53	57	50	56	60	57	83	50	
2	51	5	0	5	5	59	59	56	56	57	61	54	59	64	61	85	51	
3	51	10	5	0	10	63	63	60	60	60	65	57	63	67	64	86	51	
4	47	3	5	10	0	53	54	51	51	51	56	48	54	58	56	80	47	
5	44	54	59	63	53	0	2	4	7	9	7	13	13	12	12	47	44	
6	43	55	59	63	54	2	0	3	6	7	5	12	11	10	10	45	43	
7	41	52	56	60	51	4	3	0	4	5	6	10	10	10	10	45	41	
8	37	52	56	60	51	7	6	4	0	2	5	6	7	9	7	42	37	
9	36	53	57	60	51	9	7	5	2	0	5	5	5	7	5	40	36	
10	40	57	61	65	56	7	5	6	5	5	0	10	7	5	6	40	40	
11	31	50	54	57	48	13	12	10	6	5	10	0	6	10	8	39	31	
12	34	56	59	63	54	13	11	10	7	5	7	6	0	5	2	35	34	
13	38	60	64	67	58	12	10	10	9	7	5	10	5	0	3	35	38	
14	35	57	61	64	56	12	10	10	7	5	6	8	2	3	0	35	35	
15	38	83	85	86	80	47	45	45	42	40	40	39	35	35	35	0	38	
16	0	50	51	51	47	44	43	41	37	36	40	31	34	38	35	38	0	;
																		
param d :=																		
1	20																	
2	10																	
3	10																	
4	30																	
5	20																	
6	40																	
7	10																	
8	30																	
9	10																	
10	30																	
11	20																	
12	10																	
13	20																	
14	10																	
15	10																	
;																		
																		
param p :=																		
1	10																	
2	40																	
3	20																	
4	30																	
5	40																	
6	40																	
7	30																	
8	40																	
9	30																	
10	40																	
11	40																	
12	0																	
13	30																	
14	0																	
15	10																	
;																		
																		
param ts :=																		
0	0																	
1	10																	
2	10																	
3	10																	
4	10																	
5	10																	
6	10																	
7	10																	
8	10																	
9	10																	
10	10																	
11	10																	
12	10																	
13	10																	
14	10																	
15	10																	
16	0																	
;																		
																		
																		
param a :=																		
0	0																	
1	50																	
2	116																	
3	51																	
4	62																	
5	138																	
6	43																	
7	69																	
8	85																	
9	36																	
10	87																	
11	92																	
12	33																	
13	117																	
14	74																	
15	37																	
16	0																	
;																		
																		
																		
param b:=																		
0	240																	
1	170																	
2	175																	
3	85																	
4	182																	
5	169																	
6	78																	
7	189																	
8	95																	
9	74																	
10	112																	
11	121																	
12	66																	
13	168																	
14	84																	
15	72																	
16	240																	
;																		
