data;																		
# Solomon RC-105																		
param n := 	15	;																
																		
param m := 	4	;																
																		
param M := 	11344	;																
																		
param Q :=																		
1	150																	
2	150																	
3	200																	
4	200																	
;   																		
																		
param c :	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	:=
0	0	41	40	45	40	35	45	35	45	35	45	59	57	56	52	52	0	
1	41	0	5	56	52	49	53	47	52	45	49	96	95	93	90	89	41	
2	40	5	0	59	55	52	57	50	55	48	53	96	96	93	91	89	40	
3	45	56	59	0	5	10	4	11	6	12	9	57	59	54	55	51	45	
4	40	52	55	5	0	5	5	5	6	6	9	57	59	54	54	50	40	
5	35	49	52	10	5	0	10	2	11	4	12	55	57	52	52	48	35	
6	45	53	57	4	5	10	0	10	2	10	5	60	63	58	58	54	45	
7	35	47	50	11	5	2	10	0	10	2	11	57	59	54	54	50	35	
8	45	52	55	6	6	11	2	10	0	10	3	62	64	60	60	56	45	
9	35	45	48	12	6	4	10	2	10	0	10	59	60	56	56	52	35	
10	45	49	53	9	9	12	5	11	3	10	0	65	67	62	63	59	45	
11	59	96	96	57	57	55	60	57	62	59	65	0	5	3	7	7	59	
12	57	95	96	59	59	57	63	59	64	60	67	5	0	6	5	9	57	
13	56	93	93	54	54	52	58	54	60	56	62	3	6	0	5	4	56	
14	52	90	91	55	54	52	58	54	60	56	63	7	5	5	0	5	52	
15	52	89	89	51	50	48	54	50	56	52	59	7	9	4	5	0	52	
16	0	41	40	45	40	35	45	35	45	35	45	59	57	56	52	52	0	;
																		
param t :	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	:=
0	0	41	40	45	40	35	45	35	45	35	45	59	57	56	52	52	0	
1	41	0	5	56	52	49	53	47	52	45	49	96	95	93	90	89	41	
2	40	5	0	59	55	52	57	50	55	48	53	96	96	93	91	89	40	
3	45	56	59	0	5	10	4	11	6	12	9	57	59	54	55	51	45	
4	40	52	55	5	0	5	5	5	6	6	9	57	59	54	54	50	40	
5	35	49	52	10	5	0	10	2	11	4	12	55	57	52	52	48	35	
6	45	53	57	4	5	10	0	10	2	10	5	60	63	58	58	54	45	
7	35	47	50	11	5	2	10	0	10	2	11	57	59	54	54	50	35	
8	45	52	55	6	6	11	2	10	0	10	3	62	64	60	60	56	45	
9	35	45	48	12	6	4	10	2	10	0	10	59	60	56	56	52	35	
10	45	49	53	9	9	12	5	11	3	10	0	65	67	62	63	59	45	
11	59	96	96	57	57	55	60	57	62	59	65	0	5	3	7	7	59	
12	57	95	96	59	59	57	63	59	64	60	67	5	0	6	5	9	57	
13	56	93	93	54	54	52	58	54	60	56	62	3	6	0	5	4	56	
14	52	90	91	55	54	52	58	54	60	56	63	7	5	5	0	5	52	
15	52	89	89	51	50	48	54	50	56	52	59	7	9	4	5	0	52	
16	0	41	40	45	40	35	45	35	45	35	45	59	57	56	52	52	0	;
																		
param d :=																		
1	20																	
2	20																	
3	20																	
4	40																	
5	10																	
6	10																	
7	40																	
8	30																	
9	10																	
10	20																	
11	30																	
12	20																	
13	10																	
14	10																	
15	10																	
;																		
																		
param p :=																		
1	40																	
2	0																	
3	40																	
4	30																	
5	30																	
6	0																	
7	0																	
8	30																	
9	40																	
10	10																	
11	10																	
12	10																	
13	30																	
14	30																	
15	30																	
;																		
																		
param ts :=																		
0	0																	
1	10																	
2	10																	
3	10																	
4	10																	
5	10																	
6	10																	
7	10																	
8	10																	
9	10																	
10	10																	
11	10																	
12	10																	
13	10																	
14	10																	
15	10																	
16	0																	
;																		
																		
																		
param a :=																		
0	0																	
1	59																	
2	147																	
3	79																	
4	58																	
5	111																	
6	45																	
7	94																	
8	75																	
9	128																	
10	171																	
11	58																	
12	60																	
13	55																	
14	52																	
15	75																	
16	0																	
;																		
																		
																		
param b:=																		
0	240																	
1	114																	
2	180																	
3	124																	
4	115																	
5	162																	
6	165																	
7	119																	
8	85																	
9	194																	
10	181																	
11	171																	
12	93																	
13	120																	
14	112																	
15	102																	
16	240																	
;																		
